OrderID,Date,CustomerID,Quantity,UnitPrice,ShippingAddress,TrackingNumber,ItemsInCart,TotalPrice,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,OrderStatus_Delivered,OrderStatus_Pending,OrderStatus_Returned,OrderStatus_Shipped,CouponCode_SAVE10,CouponCode_WINTER15,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral
ORD200000,04/01/2023,C72649,5,570.62,928 Main St,TRK37947903,7,2853.1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
ORD200001,23/08/2024,C75739,2,151.35,823 Main St,TRK91186779,3,302.7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
ORD200002,27/02/2024,C81728,5,550.68,512 Main St,TRK42903982,8,2753.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ORD200003,15/10/2023,C33540,1,273.19,275 Main St,TRK62788070,5,273.19,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
ORD200004,08/05/2025,C81840,4,626.01,668 Main St,TRK29241424,8,2504.04,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
ORD200005,23/10/2023,C37249,2,245.86,934 Main St,TRK72976927,4,491.72,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
ORD200006,17/06/2025,C83492,1,664.42,986 Main St,TRK96417362,6,664.42,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
ORD200007,12/05/2023,C41460,5,149.55,706 Main St,TRK78809193,9,747.75,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ORD200008,02/04/2025,C26817,2,134.28,904 Main St,TRK61042692,2,268.56,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
ORD200009,21/11/2023,C31946,4,509.38,102 Main St,TRK33478363,6,2037.52,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
ORD200010,29/12/2023,C43443,5,625.97,333 Main St,TRK98859248,9,3129.85,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0
ORD200011,17/02/2024,C93861,3,49.14,831 Main St,TRK48234646,7,147.42,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
ORD200012,15/10/2024,C38785,2,180.5,179 Main St,TRK20419991,6,361.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ORD200013,30/08/2023,C88348,3,201.49,903 Main St,TRK81913874,4,604.47,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
ORD200014,27/03/2023,C98474,2,393.33,980 Main St,TRK79186539,3,786.66,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
ORD200015,17/07/2023,C39416,1,473.96,942 Main St,TRK54930938,3,473.96,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
ORD200016,24/01/2023,C28976,2,533.81,914 Main St,TRK13194259,3,1067.62,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
ORD200017,02/03/2024,C60672,1,423.4,382 Main St,TRK11972116,3,423.4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
ORD200018,26/03/2025,C84329,1,431.44,891 Main St,TRK65191045,3,431.44,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
ORD200019,23/01/2023,C14552,5,224.0,273 Main St,TRK59101365,9,1120.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
ORD200020,08/05/2023,C54829,5,62.51,587 Main St,TRK16718651,9,312.55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
ORD200021,17/11/2024,C99023,4,342.95,569 Main St,TRK52646983,6,1371.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
ORD200022,29/01/2023,C34416,2,49.62,633 Main St,TRK75937350,2,99.24,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
ORD200023,09/04/2025,C42372,4,273.25,755 Main St,TRK36168083,5,1093.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ORD200024,30/10/2024,C17470,2,230.95,956 Main St,TRK28775057,3,461.9,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
ORD200025,24/07/2024,C42577,1,399.98,709 Main St,TRK69423327,3,399.98,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
ORD200026,06/03/2024,C21944,5,59.55,296 Main St,TRK80276812,6,297.75,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
ORD200027,22/02/2024,C97593,1,472.74,881 Main St,TRK89117573,6,472.74,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
ORD200028,21/11/2023,C59823,4,160.07,568 Main St,TRK65895539,5,640.28,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ORD200029,20/09/2024,C33260,3,423.53,930 Main St,TRK59744090,6,1270.59,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
ORD200030,22/03/2025,C44267,2,426.7,895 Main St,TRK54751444,5,853.4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
ORD200031,30/06/2023,C26445,3,500.08,996 Main St,TRK31229981,6,1500.24,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
ORD200032,01/05/2023,C12388,5,536.72,830 Main St,TRK99261395,10,2683.6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ORD200033,05/06/2023,C52184,1,162.77,912 Main St,TRK73312471,4,162.77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
ORD200034,07/01/2023,C67195,4,576.52,926 Main St,TRK55467915,5,2306.08,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
ORD200035,07/12/2024,C50304,2,465.15,128 Main St,TRK46850888,2,930.3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
ORD200036,08/05/2025,C59337,2,534.43,465 Main St,TRK50961250,5,1068.86,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
ORD200037,14/10/2024,C10054,2,76.74,409 Main St,TRK94005261,7,153.48,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD200038,19/12/2024,C15924,1,245.89,549 Main St,TRK14835975,3,245.89,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
ORD200039,27/02/2025,C96664,3,256.46,666 Main St,TRK85508960,4,769.38,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
ORD200040,20/08/2023,C84766,2,344.02,267 Main St,TRK78967923,4,688.04,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
ORD200041,05/12/2023,C20212,3,611.45,657 Main St,TRK69733327,4,1834.35,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
ORD200042,06/05/2024,C28712,2,151.66,980 Main St,TRK40772558,6,303.32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
ORD200043,14/12/2023,C60572,3,499.21,871 Main St,TRK20351666,8,1497.63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
ORD200044,21/04/2025,C73225,2,550.18,996 Main St,TRK73848522,3,1100.36,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
ORD200045,10/02/2024,C17388,1,317.25,157 Main St,TRK47077395,1,317.25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
ORD200046,26/06/2024,C43212,4,550.14,223 Main St,TRK25100762,4,2200.56,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
ORD200047,19/07/2023,C38134,2,209.94,323 Main St,TRK42450754,3,419.88,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
ORD200048,26/08/2023,C12408,2,80.77,464 Main St,TRK38938858,4,161.54,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
ORD200049,07/10/2023,C11985,1,30.44,633 Main St,TRK53272402,1,30.44,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
ORD200050,31/07/2023,C96494,1,179.22,446 Main St,TRK14675049,6,179.22,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
ORD200051,30/12/2024,C36778,1,388.33,434 Main St,TRK67610289,2,388.33,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
ORD200052,08/09/2024,C30513,1,586.44,232 Main St,TRK64320429,5,586.44,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0
ORD200053,18/05/2024,C67551,4,488.78,512 Main St,TRK94992552,5,1955.12,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
ORD200054,27/03/2025,C48120,1,280.25,623 Main St,TRK11014449,5,280.25,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
ORD200055,24/06/2025,C95984,3,344.4,565 Main St,TRK67434829,3,1033.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
ORD200056,21/05/2023,C54298,3,479.21,566 Main St,TRK62902341,5,1437.63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ORD200057,22/01/2023,C88036,5,314.27,842 Main St,TRK52470128,6,1571.35,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
ORD200058,15/01/2023,C60190,4,474.69,202 Main St,TRK70857868,6,1898.76,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
ORD200059,11/09/2024,C97603,4,593.27,811 Main St,TRK47055028,5,2373.08,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
ORD200060,21/08/2024,C39256,1,417.1,634 Main St,TRK23412025,3,417.1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
ORD200061,24/03/2024,C61618,4,122.2,104 Main St,TRK43458485,7,488.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ORD200062,22/08/2023,C36497,2,43.15,691 Main St,TRK12102911,3,86.3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
ORD200063,02/02/2025,C96695,1,564.86,813 Main St,TRK64283851,6,564.86,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
ORD200064,25/06/2025,C49720,3,130.61,752 Main St,TRK55785217,4,391.83,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ORD200065,30/12/2023,C97735,5,81.7,385 Main St,TRK13743703,6,408.5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
ORD200066,15/11/2024,C18104,5,127.18,715 Main St,TRK15488568,9,635.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
ORD200067,09/12/2024,C25587,4,12.1,440 Main St,TRK55105323,8,48.4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
ORD200068,11/12/2023,C41598,3,490.92,709 Main St,TRK81665940,5,1472.76,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
ORD200069,11/05/2023,C43338,3,478.65,552 Main St,TRK35241775,4,1435.95,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
ORD200070,26/05/2023,C25123,1,629.21,384 Main St,TRK27812282,2,629.21,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
